,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,avg_score,Rank
occupy_period,0.2614599667601283,0.25051073081089203,0.266586321886483,0.2540608843610457,0.2777492330493945,0.2914660717662332,0.27957055987072144,0.2717256270257882,0.2798665601667216,0.28352956382972483,0.26502122032138153,0.2619178422180033,0.2477847530849142,0.24338822368838464,0.2459412262413876,0.26546799576815694,0.28326408856424967,0.3020887823889433,0.2602389655391266,0.2891350694352304,0.30342078372094505,0.2706759271665645,1.0
elec_tarif,0.14338972910821335,0.13835309907158333,0.13835309907158333,0.1430336037520883,0.14018460090308515,0.14018460090308515,0.14120210192058646,0.14338972910821335,0.1430336037520883,0.14623873195721648,0.14623873195721648,0.1430336037520883,0.14120210192058646,0.14623873195721648,0.14018460090308515,0.14440723012571466,0.14338972910821335,0.14018460090308515,0.14623873195721648,0.14623873195721648,0.14120210192058646,0.14266294266714136,2.0
hometype,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685689,0.11980703941685694,3.0
Ereaperresident,0.09529345090045549,0.09272934833635338,0.09272934833635338,0.09272934833635338,0.09272934833635338,0.09272934833635338,0.09529345090045549,0.09272934833635338,0.09529345090045549,0.09272934833635338,0.09529345090045549,0.09272934833635338,0.09272934833635338,0.09272934833635338,0.09272934833635338,0.09529345090045549,0.09272934833635338,0.09272934833635338,0.09272934833635338,0.09529345090045549,0.09529345090045549,0.09358404919105408,4.0
entry_3rd,0.08467904918081515,0.08254229704406302,0.08467904918081515,0.08254229704406302,0.0821023774864964,0.08254229704406302,0.08467904918081515,0.08467904918081515,0.08254229704406302,0.08254229704406302,0.07996562534974405,0.08467904918081515,0.0821023774864964,0.08467904918081515,0.08467904918081515,0.08467904918081515,0.08254229704406302,0.08467904918081515,0.08254229704406302,0.08254229704406302,0.07996562534974405,0.08317075355487244,5.0
entry_Ground,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,0.07536124341673056,6.0
roomarea,0.07355229644602534,0.06897354186727078,0.07263654553027443,0.06897354186727078,0.074773297667027,0.074773297667027,0.074773297667027,0.074773297667027,0.07111029400402336,0.06897354186727078,0.07263654553027443,0.06988929278302214,0.07263654553027443,0.07355229644602534,0.074773297667027,0.07355229644602534,0.07141554430927322,0.07111029400402336,0.06775254064626957,0.074773297667027,0.06988929278302214,0.07215686647916703,7.0
build_year,0.03699172125685779,0.047074953342352455,0.03715495880697306,0.04867307032508528,0.04960447510264343,0.04080714707454636,0.046979322477490815,0.04491027329305686,0.021065777333176605,0.029044550696565086,0.038773425810055606,0.038707679590463506,0.04902263905700632,0.015369337021351903,0.03728815894017323,0.04546886712088183,0.027620049272063962,0.04273698361976708,0.02941197906173132,0.04775927614205999,0.04134706299907753,0.03884817658778,8.0
gas_tariff,0.03301502870449324,0.03515178084124537,0.04134836203782655,0.044156664846129345,0.02980990049936505,0.03194665263611718,0.04308828877775328,0.03942528511474963,0.03622015690962144,0.02553639622586079,0.042416738106203056,0.03814323383269835,0.03667803236749689,0.04287461356407851,0.03194665263611718,0.03942528511474963,0.03942528511474963,0.02553639622586079,0.03301502870449324,0.046079741769206706,0.03622015690962144,0.03673617528278273,9.0
outdoor_drying,0.03682069983828273,0.03397169698928004,0.03164069465827768,0.03397169698928004,0.03448969750728037,0.02950394252152555,0.030216193233776334,0.027367190384773643,0.03164069465827768,0.03682069983828273,0.028672551690134718,0.030216193233776334,0.03682069983828273,0.030216193233776334,0.03192041493799791,0.030809303826886847,0.03682069983828273,0.027367190384773643,0.03682069983828273,0.03397169698928004,0.026341549359132577,0.032210495228078256,10.0
