,homeid,mainsid
0,61,1563c1569
1,62,1662c1666
2,63,1862c1866
3,65,1910c1912
4,73,2364c2368
5,90,3719
6,96,4121c4125
7,105,5093c5097
8,106,4891c4895
9,128,6336c6319
10,136,6597c6601
11,139,6798c6802
12,140,6850c6854
13,145,7121c7125
14,146,7181c7185
15,162,9347c9351
16,168,8528c8532
17,169,8594c8600
18,171,8767c8774
19,175,9490c9500
20,208,11831c11835
21,212,12065c12069
22,225,13027c13031
23,227,13218
24,228,13327c13331
25,231,13536c13540
26,238,14058c14062
27,242,14483c14487
28,249,14915c14916
29,255,15519c15523
30,259,16542c16546
31,262,15991c16000
32,263,16104c16108
33,264,16187c16189
34,266,16248c16252
35,268,16411c16415
36,276,17069c17073
37,311,20141c20143
38,328,21287c21291
