applianceid,homeid,roomid,applianceclass,powertype,appliancetype,appliancesubtype,number
907,47,650,food,gas,gashob,gasCookingHobs,4
908,47,650,food,electric,fridgefreezer,combinedFridgeFreezer,1
909,47,650,food,electric,grill,grill,1
910,47,650,food,electric,toaster,toaster,1
911,47,650,food,electric,kettle,kettle,1
912,47,650,food,electric,electricoven,electricOven,1
913,47,650,water,electric,washingmachine,washingMachine,1
914,47,650,water,gas,sink,sink,1
915,47,652,water,gas,shower,showerBoiler,1
916,47,652,water,gas,bath,bath,1
917,47,652,water,gas,sink,sink,1
926,55,663,food,gas,gashob,gasCookingHobs,4
927,55,663,food,electric,grill,grill,1
928,55,663,food,electric,toaster,toaster,1
929,55,663,food,electric,freezer,separateFreezer,1
930,55,663,food,electric,kettle,kettle,1
931,55,663,food,electric,fridge,separateFridge,1
932,55,663,food,electric,microwave,microwaveSimple,1
933,55,663,food,electric,electricoven,electricOven,1
934,55,663,water,electric,washingmachine,washingMachine,1
935,55,663,water,gas,sink,sink,1
977,59,688,food,gas,gashob,gasCookingHobs,4
978,59,688,food,electric,grill,grill,1
979,59,688,food,electric,toaster,toaster,1
980,59,688,food,electric,freezer,separateFreezer,1
981,59,688,food,electric,fridge,separateFridge,1
982,59,688,food,electric,microwave,microwaveSimple,1
983,59,688,food,electric,electricoven,electricOven,1
984,61,695,food,gas,gashob,gasCookingHobs,4
985,61,695,food,electric,freezer,separateFreezer,1
986,61,695,food,electric,kettle,kettle,1
987,61,695,food,electric,fridge,separateFridge,1
988,61,695,food,electric,microwave,microwaveSimple,1
989,61,695,food,electric,electricoven,electricOven,1
990,61,695,water,electric,washingmachine,washingMachine,1
991,61,695,water,electric,dishwasher,dishwasher,1
992,61,695,water,gas,sink,sink,1
993,61,696,heating,gas,gasfire,gasFire,1
994,61,698,water,gas,shower,showerBoiler,1
995,61,698,water,gas,bath,bath,1
996,61,698,water,gas,sink,sink,1
1040,61,699,other,electric,vacuumcleaner,vacuum,1
936,62,710,food,gas,gashob,gasCookingHobs,4
937,62,710,food,electric,fridgefreezer,combinedFridgeFreezer,1
938,62,710,food,electric,grill,grill,1
939,62,710,food,electric,toaster,toaster,1
940,62,710,food,electric,kettle,kettle,1
941,62,710,food,gas,gasoven,gasOven,1
942,62,710,water,electric,washingmachine,washingMachine,1
943,62,710,water,electric,dishwasher,dishwasher,1
944,62,710,water,gas,sink,sink,1
947,62,709,water,gas,shower,showerBoiler,1
948,62,709,water,gas,bath,bath,1
1005,62,710,food,gas,gasoven,gasOven,1
1004,62,710,food,electric,grill,grill,1
1003,62,710,food,gas,gashob,gasCookingHobs,4
1006,64,718,food,electric,fridgefreezer,combinedFridgeFreezer,1
1007,64,718,food,electric,electrichob,electricCookingHobs,4
1008,64,718,food,electric,toaster,toaster,1
1009,64,718,food,electric,kettle,kettle,1
1010,64,718,food,electric,electricoven,electricOven,2
1011,64,718,water,electric,washingmachine,washingMachine,1
1012,64,718,water,gas,sink,sink,1
1013,64,714,water,gas,shower,showerBoiler,1
1014,64,714,water,gas,sink,sink,1
1015,63,720,food,gas,gashob,gasCookingHobs,4
1016,63,720,food,electric,grill,grill,1
1017,63,720,food,electric,toaster,toaster,1
1018,63,720,food,electric,freezer,separateFreezer,1
1019,63,720,food,electric,kettle,kettle,1
1020,63,720,food,electric,fridge,separateFridge,1
1021,63,720,food,electric,microwave,microwaveSimple,1
1022,63,720,food,electric,electricoven,electricOven,1
1023,63,720,water,electric,washingmachinetumbledrier,washingMachineDryer,1
1024,63,720,water,electric,dishwasher,dishwasher,1
1025,63,720,water,gas,sink,sink,1
1026,63,721,heating,gas,gasfire,gasFire,1
1027,63,723,water,gas,bath,bath,1
1028,63,723,water,electric,electricshower,showerElectric,1
1059,63,720,other,electric,vacuumcleaner,vacuum,1
1029,65,733,food,gas,gashob,gasCookingHobs,4
1030,65,733,food,electric,grill,grill,1
1031,65,733,food,electric,toaster,toaster,1
1032,65,733,food,electric,freezer,separateFreezer,1
1033,65,733,food,electric,kettle,kettle,1
1034,65,733,food,electric,fridge,separateFridge,1
1035,65,733,food,electric,electricoven,electricOven,1
1036,65,733,water,electric,washingmachine,washingMachine,1
1037,65,733,water,electric,dishwasher,dishwasher,1
1038,65,733,water,gas,sink,sink,1
1039,65,734,water,electric,electricshower,showerElectric,1
1244,65,731,other,electric,vacuumcleaner,vacuum,1
1245,65,735,other,electric,vacuumcleaner,vacuum,1
1246,65,736,other,electric,vacuumcleaner,vacuum,1
1058,67,766,heating,gas,gasfire,gasFire,1
1060,67,769,water,gas,shower,showerBoiler,1
1061,67,769,water,gas,bath,bath,1
1062,67,769,water,gas,sink,sink,1
1063,67,771,food,gas,gashob,gasCookingHobs,4
1064,67,771,food,electric,toaster,toaster,1
1065,67,771,food,electric,fridge,separateFridge,1
1066,67,771,food,gas,gasoven,gasOven,1
1067,67,771,food,electric,microwave,microwaveSimple,1
1068,67,771,food,electric,electricoven,electricOven,2
1069,67,771,water,electric,dishwasher,dishwasher,1
1070,67,771,water,gas,sink,sink,1
1041,66,748,food,gas,gashob,gasCookingHobs,4
1042,66,748,food,electric,fridgefreezer,combinedFridgeFreezer,1
1043,66,748,food,electric,kettle,kettle,1
1044,66,748,food,electric,microwave,microwaveSimple,1
1045,66,748,food,electric,electricoven,electricOven,1
1046,66,750,water,gas,shower,showerBoiler,1
1047,66,750,water,gas,bath,bath,1
1048,66,750,water,gas,sink,sink,1
1049,68,757,food,electric,freezer,separateFreezer,1
1050,68,759,food,gas,gashob,gasCookingHobs,4
1051,68,759,food,electric,toaster,toaster,1
1052,68,759,food,electric,microwave,microwaveGrillAndOven,1
1053,68,759,food,electric,fridge,separateFridge,1
1054,68,759,food,gas,gasoven,gasOven,1
1055,68,759,water,electric,dishwasher,dishwasher,1
1056,68,759,water,gas,sink,sink,1
1057,68,761,heating,gas,gasfire,gasFire,1
1071,70,776,water,gas,shower,showerBoiler,1
1072,70,776,water,gas,sink,sink,1
1080,70,777,food,electric,fridgefreezer,combinedFridgeFreezer,1
1079,70,777,food,gas,gashob,gasCookingHobs,4
1077,70,780,water,gas,shower,showerBoiler,1
1078,70,780,water,gas,sink,sink,1
1081,70,777,food,electric,toaster,toaster,1
1082,70,777,food,electric,kettle,kettle,1
1083,70,777,food,electric,microwave,microwaveSimple,1
1084,70,777,water,electric,dishwasher,dishwasher,1
1085,73,781,heating,gas,gasfire,gasFire,1
1086,73,781,food,gas,gashob,gasCookingHobs,4
1087,73,781,food,electric,fridgefreezer,combinedFridgeFreezer,1
1088,73,781,food,electric,kettle,kettle,1
1089,73,781,water,gas,sink,sink,1
1090,73,785,heating,gas,gasfire,gasFire,1
1096,73,787,water,gas,sink,sink,1
1095,73,787,water,electric,electricshower,showerElectric,1
1094,73,787,water,gas,bath,bath,1
1446,73,781,water,electric,washingmachine,washingMachine,1
1097,69,789,heating,electric,electricheater,fixedElectricHeaters,1
1098,69,790,food,electric,fridgefreezer,combinedFridgeFreezer,1
1099,69,790,food,electric,electrichob,electricCookingHobs,1
1100,69,790,food,electric,toaster,toaster,1
1101,69,790,food,electric,kettle,kettle,1
1102,69,790,food,electric,microwave,microwaveSimple,1
1103,69,790,food,electric,electricoven,electricOven,2
1104,69,790,water,electric,washingmachine,washingMachine,1
1105,69,790,water,gas,sink,sink,1
1106,69,791,water,gas,bath,bath,1
