homeid,install_type,location,residents,starttime,starttime_enhanced,endtime,cohortid,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_class,urban_rural_name,build_era,new_build_year,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
47,standard,Edinburgh,2,10/08/2016 00:00,,08/05/2017 09:00,treatment_20170315,Missing,treatment,flat,missing,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,3rd,No,
59,standard,Edinburgh,2,06/10/2016 00:00,,28/01/2018 07:56,control_20170315,"£90,000 or more",control,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,3,7,Ground,Yes - shared with neighbours,Yes
61,enhanced,Edinburgh,2,06/10/2016 00:00,17/11/2016 00:00,19/10/2017 07:00,enhanced_20170213,"£48,600 to £53,999",enhanced,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,2,7,Ground,Yes - shared with neighbours,Yes
62,enhanced,Edinburgh,2,26/08/2016 00:00,11/10/2016 00:00,30/06/2018 22:59,enhanced_20170213,"£43,200 to £48,599",enhanced,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,1,7,2nd,Yes - shared with neighbours,Yes
64,standard,Edinburgh,4,20/10/2016 00:00,,30/06/2018 22:59,treatment_20170315,"£66,000 to £77,999",treatment,flat,above_median,multiple,1,Large Urban Areas,Before 1850,,Don't own,Don't own,6,7,1st,Yes - shared with neighbours,Yes
63,enhanced,Edinburgh,2,28/10/2016 00:00,02/12/2016 00:00,30/06/2018 22:59,enhanced_20170213,"£54,000 to £65,999",enhanced,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
65,enhanced,Edinburgh,2,09/11/2016 00:00,24/01/2017 00:00,30/06/2018 22:59,enhanced_20170213,"£54,000 to £65,999",enhanced,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
67,standard,Edinburgh,2,05/12/2016 00:00,,21/06/2018 07:00,treatment_20170315,"£27,000 to £32,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
66,standard,Edinburgh,3,23/11/2016 00:00,,30/06/2018 22:59,treatment_20170315,"£66,000 to £77,999",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
68,standard,Edinburgh,1,24/11/2016 00:00,,30/06/2018 22:59,treatment_20170512,"£48,600 to £53,999",treatment,house_or_bungalow,above_median,single,1,Large Urban Areas,1945-1964,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
70,standard,Edinburgh,1,07/12/2016 00:00,,30/06/2018 22:59,treatment_20170406,"less than £10,800",treatment,flat,below_median,single,1,Large Urban Areas,2002 or later,2014,Don't own,Don't own,2,7,4th,Yes - shared with neighbours,No
73,enhanced,Edinburgh,3,15/12/2016 00:00,24/02/2017 00:00,30/06/2018 22:59,enhanced_20170307,Missing,enhanced,flat,missing,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
69,standard,Edinburgh,4,04/01/2017 00:00,,30/06/2018 22:59,treatment_20170315,"less than £10,800",treatment,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1981-1990,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
75,standard,Edinburgh,2,10/01/2017 00:00,,14/06/2018 09:00,treatment_20170315,"less than £10,800",treatment,flat,below_median,multiple,1,Large Urban Areas,2002 or later,2010,Don't own,Don't own,3,7,Ground,Yes - private,Yes
72,standard,Edinburgh,2,04/01/2017 00:00,,30/06/2018 22:59,treatment_20170315,"£37,800 to £43,199",treatment,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,3rd,Yes - shared with neighbours,Yes
74,standard,Edinburgh,2,05/01/2017 00:00,,30/06/2018 22:59,control_20170315,"£23,400 to £26,999",control,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,Basement (level -1),Yes - private,Yes
78,standard,Edinburgh,3,19/01/2017 00:00,,30/06/2018 22:59,control_20170406,"£23,400 to £26,999",control,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,2nd,Yes - shared with neighbours,Yes
71,standard,Midlothian,1,11/01/2017 00:00,,30/06/2018 22:59,control_20170512,"£16,200 to £19,799",control,flat,below_median,single,1,Large Urban Areas,2002 or later,2012,Don't own,Don't own,2,7,3rd,Yes - shared with neighbours,No
77,standard,Edinburgh,1,17/01/2017 00:00,,30/06/2018 22:59,treatment_20170315,"£48,600 to £53,999",treatment,flat,above_median,single,1,Large Urban Areas,1931-1944,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
76,standard,Edinburgh,4,18/01/2017 00:00,,30/06/2018 22:59,control_20170315,"£66,000 to £77,999",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
79,standard,Edinburgh,3,17/01/2017 00:00,,30/06/2018 22:59,control_20170315,"£32,400 to £37,799",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,6,7,Ground,Yes - private,Yes
80,standard,Edinburgh,1,24/01/2017 00:00,,06/05/2017 13:00,control_20170315,"£23,400 to £26,999",control,flat,above_median,single,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,Ground,Yes - shared with neighbours,No
81,standard,Edinburgh,2,26/01/2017 00:00,,14/06/2018 12:30,control_20170315,"£37,800 to £43,199",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
88,standard,Edinburgh,1,02/02/2017 00:00,,19/06/2018 13:00,control_20170315,"£27,000 to £32,399",control,house_or_bungalow,above_median,single,1,Large Urban Areas,1965-1980,,Don't own,Don't own,1,7,Ground,Yes - private,Yes
86,standard,Edinburgh,2,02/02/2017 00:00,,19/06/2018 09:30,control_20170315,"£27,000 to £32,399",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
83,standard,Edinburgh,2,31/01/2017 00:00,,19/06/2018 08:00,control_20170315,"£23,400 to £26,999",control,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,,7,7,Ground,Yes - shared with neighbours,Yes
82,standard,Edinburgh,2,30/01/2017 00:00,,30/06/2018 22:59,treatment_20170315,"£90,000 or more",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,Before 1850,,Don't own,Don't own,4,7,1st,No,
85,standard,Edinburgh,3,02/02/2017 00:00,,12/06/2018 14:30,control_20170315,"£32,400 to £37,799",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,2,7,3rd,Yes - shared with neighbours,Yes
84,standard,Edinburgh,4,31/01/2017 00:00,,11/05/2017 09:00,control_20170315,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,4,7,Ground,Yes - shared with neighbours,Yes
89,standard,Edinburgh,1,09/02/2017 00:00,,30/06/2018 22:59,treatment_20170315,"£48,600 to £53,999",treatment,house_or_bungalow,above_median,single,1,Large Urban Areas,Before 1850,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
90,enhanced,Edinburgh,1,09/02/2017 00:00,11/04/2017 00:00,30/06/2018 22:59,enhanced_20170512,"less than £10,800",enhanced,house_or_bungalow,below_median,single,1,Large Urban Areas,1981-1990,,Don't own,Don't own,2,7,Ground,Yes - shared with neighbours,Yes
91,standard,Edinburgh,2,14/02/2017 00:00,,23/01/2018 12:06,control_20170512,"£32,400 to £37,799",control,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,4,7,2nd,Yes - shared with neighbours,Yes
