homeid,provenance,provenancedetail,energytype,date,reading
77,technician,repair_visit,electricity,2018-01-16,30561
77,technician,repair_visit,gas,2018-01-16,8081
79,technician,repair_visit,electricity,2018-01-16,28822
79,technician,repair_visit,gas,2018-01-16,5152
96,technician,repair_visit,electricity,2018-01-15,18532
96,technician,repair_visit,gas,2018-01-15,5425
113,technician,installation_visit,electricity,2017-06-20,5168
113,technician,installation_visit,gas,2017-06-20,33501
114,technician,installation_visit,electricity,2017-06-13,5865
114,technician,installation_visit,gas,2017-06-13,519748
115,technician,installation_visit,electricity,2017-06-13,289963
115,technician,installation_visit,gas,2017-06-13,4659
116,technician,installation_visit,electricity,2017-06-13,50262
116,technician,installation_visit,gas,2017-06-13,13127
117,technician,installation_visit,electricity,2017-06-20,89931
117,technician,installation_visit,gas,2017-06-20,12929
118,technician,installation_visit,electricity,2017-06-14,2870
118,technician,installation_visit,gas,2017-06-14,4942
119,technician,installation_visit,electricity,2017-06-20,10488
119,technician,installation_visit,gas,2017-06-20,16454
120,technician,installation_visit,electricity,2017-06-14,6947340
120,technician,installation_visit,gas,2017-06-14,523363
121,technician,installation_visit,electricity,2017-06-14,6836
121,technician,installation_visit,gas,2017-06-14,3795
122,technician,installation_visit,electricity,2017-06-21,86690
122,technician,installation_visit,gas,2017-06-21,6397
123,technician,installation_visit,electricity,2017-06-21,41083
123,technician,installation_visit,gas,2017-06-21,47542
124,technician,installation_visit,electricity,2017-06-21,16822
124,technician,installation_visit,gas,2017-06-21,7624
125,technician,installation_visit,electricity,2017-06-22,882
125,technician,installation_visit,gas,2017-06-22,5504
126,technician,installation_visit,electricity,2017-06-15,839560
126,technician,installation_visit,gas,2017-06-15,317026
128,technician,installation_visit,electricity,2017-06-22,58771
128,technician,installation_visit,gas,2017-06-22,9490
129,technician,installation_visit,electricity,2017-06-15,61493
129,technician,installation_visit,gas,2017-06-15,9163
133,technician,installation_visit,electricity,2017-06-27,21057
133,technician,installation_visit,gas,2017-06-27,36265
133,technician,repair_visit,electricity,2018-01-09,23054
133,technician,repair_visit,gas,2018-01-09,37164
134,technician,installation_visit,electricity,2017-06-28,63411
134,technician,installation_visit,gas,2017-06-28,22201
135,technician,installation_visit,electricity,2017-06-28,99815
135,technician,installation_visit,gas,2017-06-28,614
136,technician,installation_visit,electricity,2017-06-28,12105
136,technician,installation_visit,gas,2017-06-28,14101
137,technician,installation_visit,electricity,2017-07-03,21932
137,technician,installation_visit,gas,2017-07-03,6178
138,technician,installation_visit,electricity,2017-07-04,17260
138,technician,installation_visit,gas,2017-07-04,22201
139,technician,installation_visit,electricity,2017-07-04,22931
139,technician,installation_visit,gas,2017-07-04,1780
140,technician,installation_visit,electricity,2017-07-04,75558
140,technician,installation_visit,gas,2017-07-04,17872
141,technician,installation_visit,gas,2017-07-05,1083
143,technician,installation_visit,electricity,2017-07-06,70899
143,technician,installation_visit,gas,2017-07-06,3658
144,technician,installation_visit,electricity,2017-07-07,6599
144,technician,installation_visit,gas,2017-07-07,26761
145,technician,installation_visit,electricity,2017-07-10,437
145,technician,installation_visit,gas,2017-07-10,6806
146,technician,installation_visit,electricity,2017-07-11,51036
146,technician,installation_visit,gas,2017-07-11,77318
147,technician,installation_visit,electricity,2017-07-11,10002
147,technician,installation_visit,gas,2017-07-11,2031
148,technician,installation_visit,electricity,2017-07-12,89230
148,technician,installation_visit,gas,2017-07-12,4340
149,technician,installation_visit,electricity,2017-07-13,66722
149,technician,installation_visit,gas,2017-07-13,38155
150,technician,installation_visit,electricity,2017-07-14,88854
150,technician,installation_visit,gas,2017-07-14,11625
151,technician,installation_visit,electricity,2017-07-14,2222
151,technician,installation_visit,gas,2017-07-14,2222
152,technician,installation_visit,electricity,2017-07-21,22678
153,technician,installation_visit,electricity,2017-07-19,19274
153,technician,installation_visit,gas,2017-07-19,19527
154,technician,installation_visit,electricity,2017-07-19,25707
154,technician,installation_visit,gas,2017-07-19,2888
155,technician,installation_visit,electricity,2017-07-20,36076
155,technician,installation_visit,gas,2017-07-20,21401
157,technician,installation_visit,electricity,2017-08-11,5124
157,technician,installation_visit,gas,2017-08-11,1280
158,technician,installation_visit,electricity,2017-07-25,62497
158,technician,installation_visit,gas,2017-07-25,7026
159,technician,installation_visit,electricity,2017-07-26,34857
159,technician,installation_visit,gas,2017-07-26,8234
160,technician,installation_visit,electricity,2017-07-26,64933
160,technician,installation_visit,gas,2017-07-26,318
161,technician,installation_visit,electricity,2017-07-26,14151
161,technician,installation_visit,gas,2017-07-26,23704
162,technician,installation_visit,electricity,2017-08-14,2815
162,technician,installation_visit,gas,2017-08-14,519
163,technician,installation_visit,electricity,2017-08-15,16302
163,technician,installation_visit,gas,2017-08-15,5301
163,technician,repair_visit,electricity,2018-04-09,18013
163,technician,repair_visit,gas,2018-04-09,6325
164,technician,installation_visit,electricity,2017-07-27,11403
164,technician,installation_visit,gas,2017-07-27,2666
165,technician,installation_visit,electricity,2017-07-27,749
165,technician,installation_visit,gas,2017-07-27,267
166,technician,installation_visit,electricity,2017-07-27,62188
166,technician,installation_visit,gas,2017-07-27,6064
168,technician,installation_visit,electricity,2017-08-02,20756
168,technician,installation_visit,gas,2017-08-02,5989
169,technician,installation_visit,electricity,2017-08-02,60789
169,technician,installation_visit,gas,2017-08-02,18482
170,technician,installation_visit,electricity,2017-08-03,44092
170,technician,installation_visit,gas,2017-08-03,29062
171,technician,installation_visit,electricity,2017-08-03,54731
171,technician,installation_visit,gas,2017-08-03,14288
173,technician,installation_visit,electricity,2017-08-08,77277
173,technician,installation_visit,gas,2017-08-08,1547
174,technician,installation_visit,electricity,2017-08-09,11253
174,technician,installation_visit,gas,2017-08-09,8442
175,technician,installation_visit,electricity,2017-08-21,25347
175,technician,installation_visit,gas,2017-08-21,9997
176,technician,installation_visit,electricity,2017-08-21,74998
176,technician,installation_visit,gas,2017-08-21,20603
177,technician,installation_visit,electricity,2017-08-24,31472
177,technician,installation_visit,gas,2017-08-24,1390
178,technician,installation_visit,electricity,2017-08-24,48535
178,technician,installation_visit,gas,2017-08-24,3912
179,technician,installation_visit,electricity,2017-08-23,9849
179,technician,installation_visit,gas,2017-08-23,4825
180,technician,installation_visit,electricity,2017-08-23,17175
180,technician,installation_visit,gas,2017-08-23,14102
180,technician,repair_visit,electricity,2018-01-10,19972
180,technician,repair_visit,gas,2018-01-10,14512
181,technician,installation_visit,gas,2017-08-25,3256841
181,technician,repair_visit,electricity,2018-01-12,28760
181,technician,repair_visit,gas,2018-01-12,3992
182,technician,installation_visit,electricity,2017-08-29,53649
182,technician,installation_visit,gas,2017-08-29,29909
182,technician,repair_visit,electricity,2018-01-15,55710
182,technician,repair_visit,gas,2018-01-15,30955
183,technician,installation_visit,electricity,2017-08-30,29304
183,technician,installation_visit,gas,2017-08-30,14910
184,technician,installation_visit,electricity,2017-08-31,1493
184,technician,installation_visit,gas,2017-08-31,4599
185,technician,installation_visit,electricity,2017-09-01,78653
185,technician,installation_visit,gas,2017-09-01,170544
186,technician,installation_visit,electricity,2017-09-08,132
