roomid,homeid,type,secondarytype,storey,externalwindows,externaldoors,externalwalls,floorarea,height,radiators,trvs,clothesdrying,windowsopen,thermostat,othertype,stairup,stairupdoor,stairdown,stairdowndoor,mezzanine
650,47,kitchen,,3,1,0,1,55,290,1,None,never,1,0,,0,0,0,0,0
651,47,livingroom,,3,1,0,1,172,290,1,None,sometimes,1,0,,0,0,0,0,0
652,47,bathroom,,3,0,0,0,41,210,1,None,never,0,0,,0,0,0,0,0
653,47,bedroom,,3,1,0,1,130,190,1,None,never,1,0,,0,0,0,0,0
654,47,hall,,3,0,0,0,29,190,0,None,never,0,1,,0,0,0,0,0
687,59,hall,,1,0,0,0,85,310,1,All,never,0,0,,0,0,0,0,0
688,59,kitchen,,1,1,0,1,185,310,1,All,sometimes,1,1,,0,0,0,0,0
689,59,livingroom,,1,1,0,1,225,310,1,All,never,1,0,,0,0,0,0,0
690,59,bedroom,,1,1,0,1,115,310,1,All,never,1,0,,0,0,0,0,0
691,59,bedroom,,1,1,0,1,95,310,1,None,never,1,0,,0,0,0,0,0
692,59,bathroom,,1,1,0,1,55,310,1,None,never,1,0,,0,0,0,0,0
693,61,hall,,0,0,1,0,35,260,1,None,never,0,1,,1,0,0,0,0
694,61,outside,,0,0,0,0,0,100,0,None,never,0,0,,0,0,0,0,0
695,61,kitchen,,0,1,1,1,80,260,0,None,sometimes,1,0,,0,0,0,0,0
696,61,livingroom,,0,1,0,1,185,210,1,None,never,1,0,,0,0,0,0,0
697,61,hall,,1,0,0,0,85,250,0,None,never,0,0,,0,0,1,0,0
698,61,bathroom,,1,1,0,1,40,210,1,None,sometimes,1,0,,0,0,0,0,0
699,61,bedroom,,1,1,0,1,125,210,1,None,never,1,0,,0,0,0,0,0
700,61,bedroom,,1,1,0,1,85,250,1,None,never,1,0,,0,0,1,1,0
1109,61,utility,,0,0,0,0,50,220,0,,unknown,0,0,,0,0,0,0,0
705,62,hall,,2,0,0,0,100,300,1,,never,0,0,,0,0,0,0,0
706,62,livingroom,,2,1,0,1,190,300,1,,never,1,0,,0,0,0,0,0
707,62,bedroom,,2,0,0,0,45,300,1,,never,0,0,,0,0,0,0,0
708,62,bedroom,,2,1,0,1,130,300,1,All,never,1,0,,0,0,0,0,0
709,62,bathroom,,2,1,0,1,45,300,1,,never,1,0,,0,0,0,0,0
710,62,kitchen,,2,1,0,1,255,300,1,,often,1,1,,0,0,0,0,0
711,62,utility,,0,0,0,0,50,220,0,,unknown,0,0,,0,0,0,0,0
719,63,outside,,0,0,0,0,0,100,0,,never,0,0,,0,0,0,0,0
720,63,kitchen,,0,0,0,0,85,270,0,,often,0,0,,0,0,0,0,0
721,63,livingroom,,0,1,0,1,150,270,1,All,never,1,0,,0,0,0,0,0
722,63,hall,,0,1,1,1,95,210,1,All,never,1,1,,1,0,0,0,0
723,63,bathroom,,0,1,0,2,65,270,1,All,never,1,0,,0,0,0,0,0
724,63,bedroom,,1,1,0,3,120,260,1,All,sometimes,1,0,,0,0,1,1,0
725,63,bedroom,,1,1,0,3,125,260,1,All,sometimes,1,0,,1,0,1,0,0
727,63,utility,,1,1,0,2,35,180,0,,sometimes,1,0,,0,0,1,1,0
1129,63,utility,,0,0,0,0,50,220,0,,unknown,0,0,,0,0,0,0,0
712,64,cupboard,,1,0,0,0,30,310,0,,never,0,0,,0,0,0,0,0
713,64,hall,,1,0,0,0,65,310,1,All,often,0,1,,0,0,0,0,0
714,64,bathroom,,1,0,0,0,45,229,1,None,never,0,0,,0,0,0,0,0
715,64,bedroom,,1,1,0,1,95,310,1,All,never,1,0,,0,0,0,0,0
716,64,bedroom,,1,1,0,1,95,310,1,All,never,1,0,,0,0,0,0,0
717,64,livingroom,,1,1,0,1,165,310,1,All,sometimes,1,0,,0,0,0,0,0
718,64,kitchen,,1,1,0,1,155,310,1,All,sometimes,1,0,,0,0,0,0,0
729,65,other,,2,1,0,1,65,210,0,,never,1,0,Loft space,1,1,1,1,0
730,65,outside,,0,0,0,0,0,100,0,,never,0,0,,0,0,0,0,0
731,65,hall,,0,0,1,2,105,210,1,All,never,0,0,,0,0,0,0,0
732,65,livingroom,,0,1,0,1,185,210,1,All,never,1,0,,0,0,0,0,0
733,65,kitchen,,0,1,1,2,115,250,1,All,never,1,1,,0,0,0,0,0
734,65,bathroom,,0,1,0,2,50,240,1,None,never,1,0,,0,0,0,0,0
735,65,hall,,1,1,0,2,95,250,0,,never,1,0,,1,0,1,0,0
736,65,bedroom,,1,1,0,1,105,240,1,None,sometimes,1,0,,0,0,0,0,0
743,65,bedroom,,1,1,0,1,130,240,1,All,never,1,0,,0,0,0,0,0
744,65,playroom,,1,1,0,2,100,200,1,All,never,1,0,,0,0,0,0,0
1135,65,utility,,0,0,0,0,50,220,0,,unknown,0,0,,0,0,0,0,0
745,66,utility,utility,0,1,1,1,25,210,0,None,never,0,0,,0,0,0,0,0
747,66,livingroom,,0,1,0,1,220,210,1,All,sometimes,1,1,,1,0,0,0,0
748,66,kitchen,,0,1,1,1,90,200,1,All,never,1,0,,0,0,0,0,0
749,66,hall,,1,0,0,0,50,229,0,,never,0,0,,1,0,1,0,0
750,66,bathroom,,1,1,0,1,45,200,1,All,never,1,0,,0,0,0,0,0
751,66,bedroom,,1,1,0,1,105,229,1,All,never,1,0,,1,1,1,1,1
752,66,bedroom,,1,1,0,1,105,229,1,All,sometimes,1,0,,1,1,1,0,0
753,66,other,,2,0,0,1,185,200,0,,never,0,0,Loft Space,1,1,1,0,0
765,67,outside,,0,0,0,0,0,100,0,,sometimes,0,0,,0,0,0,0,0
766,67,livingroom,,0,1,0,2,165,240,1,All,never,1,0,,0,0,0,0,0
767,67,hall,,0,0,1,0,75,210,1,All,never,0,1,,0,0,0,0,0
768,67,bedroom,,0,1,0,1,105,210,1,All,never,1,0,,0,0,0,0,0
769,67,bathroom,,0,1,0,1,40,210,1,All,never,1,0,,0,0,0,0,0
770,67,bedroom,,0,1,0,1,130,210,1,All,never,1,0,,0,0,0,0,0
771,67,kitchen,,0,1,1,1,65,210,0,,never,1,0,,0,0,0,0,0
754,68,bedroom,,2,1,0,1,120,220,1,All,sometimes,1,0,,0,0,1,0,0
