sensorid,sensorboxid,type,unit,status,roomid,subcircuit_type,scalingfactor,rawunit,counter
1174,279492261292874,light,0.1cd,active,650,,1,,1
1175,279492261292874,humidity,0.1%,active,650,,1,,1
1176,279492261292874,temperature,0.1C,active,650,,1,,1
1177,279492261292874,battery,0.01V,active,650,,1,,1
1178,279492261292874,battery,0.01V,active,650,,1,,2
1179,279492261292875,light,0.1cd,active,650,,1,,1
1180,279492261292875,humidity,0.1%,active,650,,1,,1
1182,279492261292875,clamp_temperature,0.1C,active,650,,1,,1
1184,279492261292875,battery,0.01V,active,650,,1,,1
1181,279492261292875,temperature,0.1C,active,650,,1,,1
1183,279492261292875,clamp_temperature,0.1C,active,650,,1,,2
1185,279492261292875,battery,0.01V,active,650,,1,,2
1186,279492261292876,light,0.1cd,active,650,,1,,1
1187,279492261292876,humidity,0.1%,active,650,,1,,1
1189,279492261292876,clamp_temperature,0.1C,active,650,,1,,1
1191,279492261292876,battery,0.01V,active,650,,1,,1
1188,279492261292876,temperature,0.1C,active,650,,1,,1
1190,279492261292876,clamp_temperature,0.1C,active,650,,1,,2
1192,279492261292876,battery,0.01V,active,650,,1,,2
1193,279492261292877,light,0.1cd,active,651,,1,,1
1194,279492261292877,humidity,0.1%,active,651,,1,,1
1196,279492261292877,battery,0.01V,active,651,,1,,1
1195,279492261292877,temperature,0.1C,active,651,,1,,1
1197,279492261292877,battery,0.01V,active,651,,1,,2
1198,279492261292878,light,0.1cd,active,652,,1,,1
1199,279492261292878,humidity,0.1%,active,652,,1,,1
1201,279492261292878,battery,0.01V,active,652,,1,,1
1200,279492261292878,temperature,0.1C,active,652,,1,,1
1202,279492261292878,battery,0.01V,active,652,,1,,2
1203,279492261292879,light,0.1cd,active,653,,1,,1
1204,279492261292879,humidity,0.1%,active,653,,1,,1
1206,279492261292879,battery,0.01V,active,653,,1,,1
1205,279492261292879,temperature,0.1C,active,653,,1,,1
1207,279492261292879,battery,0.01V,active,653,,1,,2
1208,279492261292880,light,0.1cd,active,654,,1,,1
1209,279492261292880,humidity,0.1%,active,654,,1,,1
1211,279492261292880,battery,0.01V,active,654,,1,,1
1210,279492261292880,temperature,0.1C,active,654,,1,,1
1212,279492261292880,battery,0.01V,active,654,,1,,2
1213,279492261292881,battery,0.01V,active,654,,1,,1
1215,279492261292881,electric,1J,active,654,,0.00911,1A,1
1214,279492261292881,battery,0.01V,active,654,,1,,2
1216,279492261292881,electric,1J,active,654,,0.0105469,1A,2
1217,279492261292882,battery,0.01V,active,654,,1,,1
1219,279492261292882,electric,1J,active,654,,0.03037,1A,1
1218,279492261292882,battery,0.01V,active,654,,1,,2
1220,279492261292882,electric,1J,active,654,,0.0351562,1A,2
1221,279492261292883,gas,1Wh,active,654,,1,0.01m3,1
1222,279492261292883,battery,0.01V,active,654,,1,,1
1224,279492261292883,light,0.1cd,active,654,,1,,1
1223,279492261292883,battery,0.01V,active,654,,1,,2
1225,279492261292883,humidity,0.1%,active,654,,1,,1
1226,279492261292883,temperature,0.1C,active,654,,1,,1
1505,279492261292946,electric,1J,active,687,,0.00911,1A,1
1506,279492261292946,electric,1J,active,687,,0.0105469,1A,2
1509,279492261292946,battery,0.01V,active,687,,1,,1
1510,279492261292946,battery,0.01V,active,687,,1,,2
1507,279492261292947,electric,1J,active,687,,0.03037,1A,1
1508,279492261292947,electric,1J,active,687,,0.0351562,1A,2
1547,279492261292947,battery,0.01V,active,687,,1,,1
1548,279492261292947,battery,0.01V,active,687,,1,,2
1514,279492261292948,humidity,0.1%,active,687,,1,,1
1515,279492261292948,temperature,0.1C,active,687,,1,,1
1521,279492261292948,light,0.1cd,active,687,,1,,1
1558,279492261292948,battery,0.01V,active,687,,1,,1
1559,279492261292948,battery,0.01V,active,687,,1,,2
1511,279492261292949,gas,1Wh,active,687,,1,1ft3,1
1512,279492261292949,humidity,0.1%,active,687,,1,,1
1513,279492261292949,temperature,0.1C,active,687,,1,,1
1560,279492261292949,battery,0.01V,active,687,,1,,1
1561,279492261292949,battery,0.01V,active,687,,1,,2
2673,279492261292949,light,0.1cd,active,687,,1,,1
1516,279492261292950,clamp_temperature,0.1C,active,688,,1,,1
1517,279492261292950,clamp_temperature,0.1C,active,688,,1,,2
1518,279492261292950,light,0.1cd,active,688,,1,,1
1519,279492261292950,humidity,0.1%,active,688,,1,,1
1520,279492261292950,temperature,0.1C,active,688,,1,,1
1549,279492261292950,battery,0.01V,active,688,,1,,1
1550,279492261292950,battery,0.01V,active,688,,1,,2
1537,279492261292954,light,0.1cd,active,688,,1,,1
1538,279492261292954,battery,0.01V,active,688,,1,,1
1539,279492261292954,battery,0.01V,active,688,,1,,2
1540,279492261292954,humidity,0.1%,active,688,,1,,1
1541,279492261292954,temperature,0.1C,active,688,,1,,1
1551,279492261292957,battery,0.01V,active,688,,1,,1
1552,279492261292957,battery,0.01V,active,688,,1,,2
1553,279492261292957,humidity,0.1%,active,688,,1,,1
1554,279492261292957,temperature,0.1C,active,688,,1,,1
1555,279492261292957,clamp_temperature,0.1C,active,688,,1,,1
1556,279492261292957,clamp_temperature,0.1C,active,688,,1,,2
1557,279492261292957,light,0.1cd,active,688,,1,,1
1522,279492261292951,light,0.1cd,active,689,,1,,1
1523,279492261292951,humidity,0.1%,active,689,,1,,1
1524,279492261292951,temperature,0.1C,active,689,,1,,1
1525,279492261292951,battery,0.01V,active,689,,1,,1
1526,279492261292951,battery,0.01V,active,689,,1,,2
1527,279492261292952,light,0.1cd,active,690,,1,,1
1528,279492261292952,battery,0.01V,active,690,,1,,1
1529,279492261292952,battery,0.01V,active,690,,1,,2
1530,279492261292952,humidity,0.1%,active,690,,1,,1
1531,279492261292952,temperature,0.1C,active,690,,1,,1
1532,279492261292953,light,0.1cd,active,691,,1,,1
1533,279492261292953,humidity,0.1%,active,691,,1,,1
1534,279492261292953,temperature,0.1C,active,691,,1,,1
1535,279492261292953,battery,0.01V,active,691,,1,,1
1536,279492261292953,battery,0.01V,active,691,,1,,2
1542,279492261292955,light,0.1cd,active,692,,1,,1
1543,279492261292955,humidity,0.1%,active,692,,1,,1
1544,279492261292955,temperature,0.1C,active,692,,1,,1
1545,279492261292955,battery,0.01V,active,692,,1,,1
1546,279492261292955,battery,0.01V,active,692,,1,,2
1562,279492261292958,electric,1J,active,693,,0.00911,1A,1
1563,279492261292958,electric,1J,active,693,,0.0105469,1A,2
1564,279492261292958,battery,0.01V,active,693,,1,,1
1565,279492261292958,battery,0.01V,active,693,,1,,2
1566,279492261292959,battery,0.01V,active,693,,1,,1
1567,279492261292959,battery,0.01V,active,693,,1,,2
1568,279492261292959,electric,1J,active,693,,0.03037,1A,1
1569,279492261292959,electric,1J,active,693,,0.0351562,1A,2
1596,279492261292965,light,0.1cd,active,693,,1,,1
1597,279492261292965,humidity,0.1%,active,693,,1,,1
1598,279492261292965,temperature,0.1C,active,693,,1,,1
1599,279492261292965,battery,0.01V,active,693,,1,,1
1600,279492261292965,battery,0.01V,active,693,,1,,2
2009,279492261293062,humidity,0.1%,active,693,,1,,1
2010,279492261293062,temperature,0.1C,active,693,,1,,1
2011,279492261293062,clamp_temperature,0.1C,active,693,,1,,1
2012,279492261293062,clamp_temperature,0.1C,active,693,,1,,2
2027,279492261293062,battery,0.01V,active,693,,1,,1
2028,279492261293062,battery,0.01V,active,693,,1,,2
2035,279492261293062,light,0.1cd,active,693,,1,,1
1570,279492261292960,gas,1Wh,active,694,,1,0.01m3,1
1571,279492261292960,light,0.1cd,active,694,,1,,1
1606,279492261292960,battery,0.01V,active,694,,1,,1
1607,279492261292960,battery,0.01V,active,694,,1,,2
1884,279492261292960,humidity,0.1%,active,694,,1,,1
1885,279492261292960,temperature,0.1C,active,694,,1,,1
1572,279492261292961,light,0.1cd,active,695,,1,,1
1573,279492261292961,humidity,0.1%,active,695,,1,,1
1574,279492261292961,temperature,0.1C,active,695,,1,,1
1575,279492261292961,clamp_temperature,0.1C,active,695,,1,,1
1577,279492261292961,battery,0.01V,active,695,,1,,1
1576,279492261292961,clamp_temperature,0.1C,active,695,,1,,2
1578,279492261292961,battery,0.01V,active,695,,1,,2
1579,279492261292962,light,0.1cd,active,695,,1,,1
1580,279492261292962,humidity,0.1%,active,695,,1,,1
1581,279492261292962,temperature,0.1C,active,695,,1,,1
1582,279492261292962,clamp_temperature,0.1C,active,695,,1,,1
1583,279492261292962,clamp_temperature,0.1C,active,695,,1,,2
1584,279492261292962,battery,0.01V,active,695,,1,,1
1585,279492261292962,battery,0.01V,active,695,,1,,2
1586,279492261292963,light,0.1cd,active,695,,1,,1
1587,279492261292963,humidity,0.1%,active,695,,1,,1
1588,279492261292963,temperature,0.1C,active,695,,1,,1
1589,279492261292963,battery,0.01V,active,695,,1,,1
1590,279492261292963,battery,0.01V,active,695,,1,,2
1967,279492261293041,electric_socket,1W,active,695,,1,,2
1969,279492261293043,electric_socket,1W,active,695,,1,,2
1971,279492261293046,electric_socket,1W,active,695,,1,,2
1968,279492261293047,clamp_temperature,0.1C,active,695,,1,,2
1970,279492261293047,light,0.1cd,active,695,,1,,1
1972,279492261293047,humidity,0.1%,active,695,,1,,1
1973,279492261293047,temperature,0.1C,active,695,,1,,1
2033,279492261293047,battery,0.01V,active,695,,1,,1
2034,279492261293047,battery,0.01V,active,695,,1,,2
1984,279492261293055,light,0.1cd,active,695,,1,,1
1985,279492261293055,humidity,0.1%,active,695,,1,,1
1986,279492261293055,temperature,0.1C,active,695,,1,,1
1987,279492261293055,battery,0.01V,active,695,,1,,1
1988,279492261293055,battery,0.01V,active,695,,1,,2
1591,279492261292964,light,0.1cd,active,696,,1,,1
1592,279492261292964,humidity,0.1%,active,696,,1,,1
1593,279492261292964,temperature,0.1C,active,696,,1,,1
1594,279492261292964,battery,0.01V,active,696,,1,,1
1595,279492261292964,battery,0.01V,active,696,,1,,2
1979,279492261293054,light,0.1cd,active,696,,1,,1
1980,279492261293054,humidity,0.1%,active,696,,1,,1
1981,279492261293054,temperature,0.1C,active,696,,1,,1
1982,279492261293054,battery,0.01V,active,696,,1,,1
1983,279492261293054,battery,0.01V,active,696,,1,,2
2017,279492261293061,light,0.1cd,active,696,,1,,1
2018,279492261293061,humidity,0.1%,active,696,,1,,1
2019,279492261293061,temperature,0.1C,active,696,,1,,1
2020,279492261293061,clamp_temperature,0.1C,active,696,,1,,1
2021,279492261293061,clamp_temperature,0.1C,active,696,,1,,2
2024,279492261293061,battery,0.01V,active,696,,1,,1
2025,279492261293061,battery,0.01V,active,696,,1,,2
1601,279492261292966,light,0.1cd,active,697,,1,,1
1602,279492261292966,humidity,0.1%,active,697,,1,,1
1603,279492261292966,temperature,0.1C,active,697,,1,,1
1604,279492261292966,battery,0.01V,active,697,,1,,1
1605,279492261292966,battery,0.01V,active,697,,1,,2
1608,279492261292967,humidity,0.1%,active,698,,1,,1
1609,279492261292967,temperature,0.1C,active,698,,1,,1
1610,279492261292967,light,0.1cd,active,698,,1,,1
1621,279492261292967,battery,0.01V,active,698,,1,,1
1622,279492261292967,battery,0.01V,active,698,,1,,2
1991,279492261293058,humidity,0.1%,active,698,,1,,1
1992,279492261293058,temperature,0.1C,active,698,,1,,1
1993,279492261293058,clamp_temperature,0.1C,active,698,,1,,1
1994,279492261293058,clamp_temperature,0.1C,active,698,,1,,2
2007,279492261293058,light,0.1cd,active,698,,1,,1
2029,279492261293058,battery,0.01V,active,698,,1,,1
2030,279492261293058,battery,0.01V,active,698,,1,,2
1995,279492261293059,clamp_temperature,0.1C,active,698,,1,,2
1998,279492261293059,humidity,0.1%,active,698,,1,,1
1999,279492261293059,temperature,0.1C,active,698,,1,,1
2008,279492261293059,light,0.1cd,active,698,,1,,1
2031,279492261293059,battery,0.01V,active,698,,1,,1
2032,279492261293059,battery,0.01V,active,698,,1,,2
2000,279492261293060,light,0.1cd,active,698,,1,,1
2001,279492261293060,humidity,0.1%,active,698,,1,,1
2002,279492261293060,temperature,0.1C,active,698,,1,,1
2003,279492261293060,clamp_temperature,0.1C,active,698,,1,,1
2004,279492261293060,clamp_temperature,0.1C,active,698,,1,,2
2005,279492261293060,battery,0.01V,active,698,,1,,1
2006,279492261293060,battery,0.01V,active,698,,1,,2
1611,279492261292968,light,0.1cd,active,699,,1,,1
1612,279492261292968,humidity,0.1%,active,699,,1,,1
1613,279492261292968,temperature,0.1C,active,699,,1,,1
1614,279492261292968,battery,0.01V,active,699,,1,,1
1615,279492261292968,battery,0.01V,active,699,,1,,2
2013,279492261293063,humidity,0.1%,active,699,,1,,1
2014,279492261293063,temperature,0.1C,active,699,,1,,1
2015,279492261293063,clamp_temperature,0.1C,active,699,,1,,1
2016,279492261293063,clamp_temperature,0.1C,active,699,,1,,2
2022,279492261293063,battery,0.01V,active,699,,1,,1
2023,279492261293063,battery,0.01V,active,699,,1,,2
2026,279492261293063,light,0.1cd,active,699,,1,,1
1616,279492261292969,light,0.1cd,active,700,,1,,1
1617,279492261292969,humidity,0.1%,active,700,,1,,1
1618,279492261292969,temperature,0.1C,active,700,,1,,1
1619,279492261292969,battery,0.01V,active,700,,1,,1
1620,279492261292969,battery,0.01V,active,700,,1,,2
1974,279492261293052,humidity,0.1%,active,700,,1,,1
1975,279492261293052,temperature,0.1C,active,700,,1,,1
1976,279492261293052,light,0.1cd,active,700,,1,,1
1977,279492261293052,clamp_temperature,0.1C,active,700,,1,,1
1978,279492261293052,clamp_temperature,0.1C,active,700,,1,,2
1989,279492261293052,battery,0.01V,active,700,,1,,1
1990,279492261293052,battery,0.01V,active,700,,1,,2
5071,279492261293657,power,1W,active,1109,mains,1,,1
1693,279492261292984,light,0.1cd,active,710,,1,,1
1694,279492261292984,humidity,0.1%,active,710,,1,,1
1695,279492261292984,temperature,0.1C,active,710,,1,,1
1696,279492261292984,battery,0.01V,active,710,,1,,1
