sensorboxid,local_id,roomid,status,sensorbox_type,notes,heightfromfloor,name,onMainThermostat,temperatureInaccuracy,humidityInaccuracy,lightInaccuracy,install_type,currentrange,clamp1pipe,clamp2pipe,gasblock,installtime,applianceid,hasTRV,clamp1detail,clamp2detail,oven,function
279492261292874,1,650,active,room,Behind door.,157,,0,0,0,1,standard,,,,,1470819942,0,,,,,
279492261292875,2,650,active,clamp,,0,,0,0,0,0,standard,,Cold,Hot,,1470821130,0,,,,,
279492261292876,3,650,active,clamp,,0,,0,0,0,0,standard,,CH Return,CH Flow,,1470821500,0,,,,,
279492261292877,4,651,active,room,,161,,0,0,0,0,standard,,,,,1470822382,0,,,,,
279492261292878,5,652,active,room,,158,,0,0,0,0,standard,,,,,1470822890,0,,,,,
279492261292879,6,653,active,room,,153,,0,0,0,0,standard,,,,,1470823257,0,,,,,
279492261292880,7,654,active,room,,251,,0,0,0,0,standard,,,,,1470823863,0,,,,,
279492261292881,8,654,active,electric,,0,,0,0,0,0,standard,30A,,,,1470824125,0,,,,,
279492261292882,9,654,active,electric,,0,,0,0,0,0,standard,100A,,,,1470824454,0,,,,,
279492261292883,10,654,active,gas,,0,,0,0,0,0,standard,,,,White,1470825252,0,,,,,
279492261292956,96,687,active,relay,,0,,0,0,0,0,standard,,,,,1475750607,0,,,,,
279492261292946,1,687,active,electric,,0,,0,0,0,0,standard,30A,,,,1475744587,0,,,,,
279492261292947,2,687,active,electric,,0,,0,0,0,0,standard,100A,,,,1475745102,0,,,,,
279492261292948,3,687,active,room,,156,,0,0,0,0,standard,,,,,1475745747,0,,,,,
279492261292949,4,687,active,gas,,0,,0,0,0,0,standard,,,,Direct,1475746202,0,,,,,
279492261292950,5,688,active,clamp,,0,,0,0,0,0,standard,,Hot,Cold,,1475747655,0,,,,,
279492261292954,9,688,active,room,,208,,0,0,0,0,standard,,,,,1475749594,0,,,,,
279492261292957,11,688,active,clamp,,0,,0,0,0,0,standard,,CH Flow,CH Return,,1475751993,0,,,,,
279492261292951,6,689,active,room,,123,,0,0,0,0,standard,,,,,1475748289,0,,,,,
279492261292952,7,690,active,room,,148,,0,0,0,0,standard,,,,,1475748753,0,,,,,
279492261292953,8,691,active,room,,150,,0,0,0,0,standard,,,,,1475749154,0,,,,,
279492261292955,10,692,active,room,,163,,0,0,0,0,standard,,,,,1475749997,0,,,,,
279492261292958,1,693,active,electric,,0,,0,0,0,0,standard,30A,,,,1475757035,0,,,,,
279492261292959,2,693,active,electric,,0,,0,0,0,0,standard,100A,,,,1475757470,0,,,,,
279492261292965,8,693,active,room,,190,,0,0,0,0,standard,,,,,1475761301,0,,,,,
279492261293062,26,693,active,clamp,,10,,0,0,0,0,enhanced,,RadiatorOutput,RadiatorInput,,1475762758,0,1,,,,Radiator
279492261292960,3,694,active,gas,,0,,0,0,0,0,standard,,,,White,1475758208,0,,,,,
279492261292961,4,695,active,clamp,,0,,0,0,0,0,standard,,Cold,Hot,,1475759849,0,,,,,
279492261292962,5,695,active,clamp,,0,,0,0,0,0,standard,,CH Return,CH Flow,,1475760449,0,,,,,
279492261292963,6,695,active,room,,166,,0,0,0,0,standard,,,,,1475760734,0,,,,,
279492261293041,102,695,active,plug_monitor,,0,Kettle,0,0,0,0,enhanced,,,,,0,986,,,,,
279492261293043,103,695,active,plug_monitor,,0,dishwasher,0,0,0,0,enhanced,,,,,0,991,,,,,
279492261293046,105,695,active,plug_monitor,,0,microwaveSimple,0,0,0,0,enhanced,,,,,0,988,,,,,
