homeid,notification_date,provenancedetail,energytype,daily_standing_charge_pence,unit_charge_pence_per_kwh
167,2016-08-25,primary_facetoface_initial,electricity,23.02,
62,2016-08-26,primary_facetoface_initial,electricity,31.31,
62,2016-08-26,primary_facetoface_initial,gas,24.74,
61,2016-10-06,primary_facetoface_initial,electricity,0.33,0.12
61,2016-10-06,primary_facetoface_initial,gas,0.3,0.33
64,2016-10-20,primary_facetoface_initial,electricity,26.02,13.42
64,2016-10-20,in_app,electricity,26.0,13.41
64,2016-10-20,primary_facetoface_initial,gas,22.0,3.98
64,2016-10-20,in_app,gas,21.0,3.98
65,2016-11-09,primary_facetoface_initial,electricity,15.97,
65,2016-11-09,primary_facetoface_initial,gas,3.45,
68,2016-11-24,primary_facetoface_initial,electricity,11.24,
68,2016-11-24,primary_facetoface_initial,gas,6.77,
70,2016-12-07,primary_facetoface_initial,electricity,16.42,12.98
70,2016-12-07,in_app,electricity,16.0,12.97
70,2016-12-07,primary_facetoface_initial,gas,21.9,3.76
70,2016-12-07,in_app,gas,21.0,3.75
69,2017-01-04,primary_facetoface_initial,electricity,,12.01
69,2017-01-04,in_app,electricity,0.0,12.01
69,2017-01-04,primary_facetoface_initial,gas,3.02,
72,2017-01-04,primary_facetoface_initial,electricity,,17.1
72,2017-01-04,in_app,electricity,0.0,17.1
72,2017-01-04,primary_facetoface_initial,gas,,5.2
72,2017-01-04,in_app,gas,0.0,5.19
74,2017-01-05,primary_facetoface_initial,electricity,12.75,
74,2017-01-05,primary_facetoface_initial,gas,8.0,
75,2017-01-10,primary_facetoface_initial,electricity,27.31,13.05
75,2017-01-10,in_app,electricity,27.0,13.05
75,2017-01-10,primary_facetoface_initial,gas,27.31,3.69
75,2017-01-10,in_app,gas,27.0,3.68
71,2017-01-11,primary_facetoface_initial,electricity,23.02,9.34
71,2017-01-11,in_app,electricity,23.0,9.34
71,2017-01-11,primary_facetoface_initial,gas,23.02,2.26
71,2017-01-11,in_app,gas,23.0,2.25
77,2017-01-17,primary_facetoface_initial,electricity,,16.5
77,2017-01-17,in_app,electricity,0.0,16.49
77,2017-01-17,primary_facetoface_initial,gas,14.38,3.87
77,2017-01-17,in_app,gas,14.0,3.86
79,2017-01-17,primary_facetoface_initial,electricity,11.5,
79,2017-01-17,primary_facetoface_initial,gas,2.58,
76,2017-01-18,primary_facetoface_initial,electricity,19.27,13.81
76,2017-01-18,in_app,electricity,19.0,13.8
76,2017-01-18,primary_facetoface_initial,gas,21.75,3.19
76,2017-01-18,in_app,gas,21.0,3.18
78,2017-01-19,primary_facetoface_initial,electricity,16.44,13.46
78,2017-01-19,in_app,electricity,16.0,13.46
78,2017-01-19,primary_facetoface_initial,gas,16.44,3.94
78,2017-01-19,in_app,gas,16.0,3.93
80,2017-01-24,primary_facetoface_initial,electricity,16.42,13.0
80,2017-01-24,in_app,electricity,16.0,13.0
80,2017-01-24,primary_facetoface_initial,gas,21.9,3.79
80,2017-01-24,in_app,gas,22.0,3.79
81,2017-01-26,primary_facetoface_initial,electricity,0.13,10.36
81,2017-01-26,in_app,electricity,0.0,10.36
81,2017-01-26,primary_facetoface_initial,gas,0.08,2.92
81,2017-01-26,in_app,gas,0.0,2.92
82,2017-01-30,primary_facetoface_initial,electricity,15.5,10.22
82,2017-01-30,in_app,electricity,15.0,10.22
82,2017-01-30,primary_facetoface_initial,gas,15.34,2.32
82,2017-01-30,in_app,gas,15.0,2.32
83,2017-01-31,primary_facetoface_initial,gas,3.28,
84,2017-01-31,in_app,electricity,0.0,15.27
84,2017-01-31,primary_facetoface_initial,gas,,4.45
84,2017-01-31,in_app,gas,0.0,4.45
85,2017-02-02,primary_facetoface_initial,electricity,16.28,
85,2017-02-02,primary_facetoface_initial,gas,4.21,
86,2017-02-02,primary_facetoface_initial,electricity,27.95,13.04
86,2017-02-02,in_app,electricity,28.0,13.04
86,2017-02-02,primary_facetoface_initial,gas,22.62,2.96
86,2017-02-02,in_app,gas,23.0,2.96
89,2017-02-09,primary_facetoface_initial,electricity,25.43,10.25
