tot_energy,roomarea,residents,Ereaperresident,avg_income,equivalised_income,hometype,occupancy,urban_rural_class,build_year,smart_automation,occupy_period,entry_floor,outdoor_drying,gas_tariff,elec_tarif,educationmax,age_avg,humidity,realfeel,temperature,windspeed
0.104130781,0.213389121,0.25,0.131578947,0.563997093,1,0,1,a1,0.5,0,0.583333333,Ground,1,0.481171548,0.659385666,0.333333333,0.75,0.994770639,0.142857143,0.12803587,0
0.07261939,0.322175732,0.25,0.193779904,0.491996613,1,1,1,a1,0.226775956,0,0.5,2nd,1,0.782426778,0.820477816,1,0.3,0.994770639,0.142857143,0.12803587,0
0.133885709,0.246861925,0.25,0.150717703,0.679997867,1,0,1,a1,0.5,0,0.583333333,Ground,1,0.506276151,0.671672355,1,0.45,0.994770639,0.142857143,0.12803587,0
0.117298262,0.476987448,0.25,0.282296651,0.679997867,1,0,1,a1,0.663934426,0,1,Ground,1,0.767782427,0.741296928,1,0.6,0.994770639,0.142857143,0.12803587,0
0.078856643,0.221757322,0.5,0.025518341,0.260001733,0,1,1,a1,0.226775956,0,1,Ground,1,0.493723849,0.611604096,0.333333333,0.166666667,0.994770639,0.142857143,0.12803587,0
0.229828478,0,0,0.215311005,0,0,0,0,a1,0.833333333,0,0.583333333,Ground,1,0.451882845,0.539931741,0.666666667,0.8,0.994770639,0.142857143,0.12803587,0
0.347163088,0.874476987,1,0.086124402,0.563997093,0,0,1,c3,0.5,0,0.75,Ground,1,0.121338912,0.549488055,1,0.08,0,0,0,0.45374501
0.065003609,0.276150628,0,0.531100478,0.491996613,1,1,0,a1,0.226775956,0,0.583333333,4th,0,0.271966527,0.62662116,1,0.6,0,0,0,0.45374501
0.077549477,0.154811715,0,0.392344498,0.347995653,1,1,0,a1,0.87431694,0,0.416666667,2nd,0,0.60251046,0.592491468,1,0.3,0.994770639,0.142857143,0.12803587,0
0.07477729,0.041841004,0.25,0.033492823,0.215994773,0,1,0,a1,0.87431694,1,0.333333333,2nd,1,0.769874477,0,0.666666667,0.5,0.994770639,0.142857143,0.12803587,0
0.517138316,0.686192469,0,1,0.491996613,1,1,0,a1,0.226775956,0,1,Ground,0,0.192468619,0.565870307,1,1,0.994770639,0.142857143,0.12803587,0
0.11265039,0.326359833,0.5,0.06539075,0.419996133,0,1,1,a1,0.226775956,0,0.833333333,1st,1,0.673640167,0.671672355,1,0.2,0.994770639,0.142857143,0.12803587,0
0.58,0.154811715,0.5,0,0.679997867,1,1,1,a1,0,0,0.916666667,Attic,1,0.564853556,0.700341297,1,0.166666667,0.994770639,0.142857143,0.12803587,0
0.001200028,0.221757322,0.25,0.136363636,0.491996613,1,1,1,a1,0.226775956,0,0.5,2nd,1,0.154811715,0.554266212,1,0.25,0.994770639,0.142857143,0.12803587,0
1,1,0.75,0.192583732,0.491996613,0,0,1,a1,0.571038251,0,1,Ground,1,0.108786611,0.407508532,1,0.4,0,0,0,0.45374501
0.279850101,0.255230126,0.25,0.155502392,0.679997867,1,1,1,a1,1,1,0.666666667,3rd,1,0.305439331,0.565187713,1,0.15,0.994770639,0.142857143,0.12803587,0
0.39889,0.560669456,0.75,0.066985646,0.839998933,1,0,1,b2,0.663934426,0,0.666666667,Ground,1,0.531380753,0.686006826,1,0.25,0.911066347,0.285714286,0.28178589,0.042184143
0.534474591,0.481171548,0,0.765550239,0.563997093,1,0,0,b2,0.762295082,1,0.666666667,Ground,0,0.479079498,0.682593857,0.666666667,0.5,0.911066347,0.285714286,0.28178589,0.042184143
0.859257899,0.251046025,0,0.502392344,0.077993853,0,1,0,a1,0.762295082,0,1,Ground,1,0.322175732,0.673037543,0,1,0.994770639,0.142857143,0.12803587,0
